source,listing_id,detail_url,search_url,area_m2,is_furnished,bedrooms,region,address,photo_id,subtitle,label,image_url,image_path,downloaded,bytes
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813686,Sala,sala,https://www.quintoandar.com.br/img/med/892937132-601.8884705279253IMG0233.jpg,data/external/quintoandar/images/sala/892937132_002_3813686_sala.jpg,True,17024
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813687,Sala,sala,https://www.quintoandar.com.br/img/med/892937132-346.5513398329897IMG0234.jpg,data/external/quintoandar/images/sala/892937132_003_3813687_sala.jpg,True,20420
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813688,Sala,sala,https://www.quintoandar.com.br/img/med/892937132-827.5020360002669IMG0235.jpg,data/external/quintoandar/images/sala/892937132_004_3813688_sala.jpg,True,20574
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813626,Detalhe sala,sala,https://www.quintoandar.com.br/img/med/892937132-711.2888053382566IMG0164.jpg,data/external/quintoandar/images/sala/892937132_005_3813626_detalhe_sala.jpg,True,14433
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813627,Ar condicionado Sala,sala,https://www.quintoandar.com.br/img/med/892937132-503.35102983656685IMG0165.jpg,data/external/quintoandar/images/sala/892937132_006_3813627_ar_condicionado_sala.jpg,True,9370
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813628,Corredor,corredor,https://www.quintoandar.com.br/img/med/892937132-668.9866287351314IMG0166.jpg,data/external/quintoandar/images/corredor/892937132_007_3813628_corredor.jpg,True,9041
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813629,Lavabo,banheiro,https://www.quintoandar.com.br/img/med/892937132-49.79913251604917IMG0167.jpg,data/external/quintoandar/images/banheiro/892937132_008_3813629_lavabo.jpg,True,10077
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813630,Detalhe lavabo,banheiro,https://www.quintoandar.com.br/img/med/892937132-368.6274796333335IMG0168.jpg,data/external/quintoandar/images/banheiro/892937132_009_3813630_detalhe_lavabo.jpg,True,25479
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813667,Quarto 1,quarto,https://www.quintoandar.com.br/img/med/892937132-295.02595223262887IMG0210.jpg,data/external/quintoandar/images/quarto/892937132_011_3813667_quarto_1.jpg,True,18974
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813668,Quarto 1,quarto,https://www.quintoandar.com.br/img/med/892937132-98.51643386041874IMG0211.jpg,data/external/quintoandar/images/quarto/892937132_012_3813668_quarto_1.jpg,True,23710
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813669,Quarto 1,quarto,https://www.quintoandar.com.br/img/med/892937132-823.7627908081718IMG0212.jpg,data/external/quintoandar/images/quarto/892937132_013_3813669_quarto_1.jpg,True,25449
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813670,Ar condicionado quarto 1,quarto,https://www.quintoandar.com.br/img/med/892937132-785.9517905264236IMG0213.jpg,data/external/quintoandar/images/quarto/892937132_014_3813670_ar_condicionado_quarto_1.jpg,True,10527
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813671,Quarto 2,quarto,https://www.quintoandar.com.br/img/med/892937132-759.479613144408IMG0214.jpg,data/external/quintoandar/images/quarto/892937132_015_3813671_quarto_2.jpg,True,13971
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813672,Quarto 2,quarto,https://www.quintoandar.com.br/img/med/892937132-731.6461883703685IMG0215.jpg,data/external/quintoandar/images/quarto/892937132_016_3813672_quarto_2.jpg,True,17322
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813673,Quarto 2,quarto,https://www.quintoandar.com.br/img/med/892937132-506.3864115951977IMG0216.jpg,data/external/quintoandar/images/quarto/892937132_017_3813673_quarto_2.jpg,True,17163
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813674,Banheiro Quartos,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-707.5323298887729IMG0217.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_018_3813674_banheiro_quartos.jpg,True,12633
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813675,Banheiro Quartos,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-601.9168546189419IMG0218.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_019_3813675_banheiro_quartos.jpg,True,10849
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813677,Banheiro Quartos,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-253.24296346661455IMG0221.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_020_3813677_banheiro_quartos.jpg,True,10288
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813676,Detalhe banheiro quartos,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-717.6574897449512IMG0220.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_021_3813676_detalhe_banheiro_quartos.jpg,True,14266
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813678,Suíte,quarto,https://www.quintoandar.com.br/img/med/892937132-432.9050007753069IMG0222.jpg,data/external/quintoandar/images/quarto/892937132_022_3813678_suite.jpg,True,16635
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813679,Suíte,quarto,https://www.quintoandar.com.br/img/med/892937132-93.33586092596269IMG0223.jpg,data/external/quintoandar/images/quarto/892937132_023_3813679_suite.jpg,True,21127
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813680,Suíte,quarto,https://www.quintoandar.com.br/img/med/892937132-980.9442596281924IMG0224.jpg,data/external/quintoandar/images/quarto/892937132_024_3813680_suite.jpg,True,17246
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813681,Ar condicionado suíte,quarto,https://www.quintoandar.com.br/img/med/892937132-133.08592883251603IMG0225.jpg,data/external/quintoandar/images/quarto/892937132_025_3813681_ar_condicionado_suite.jpg,True,10023
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813682,Banheiro da Suíte,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-537.4430851004962IMG0227.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_026_3813682_banheiro_da_suite.jpg,True,12350
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813685,Banheiro da Suíte,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-133.66022979522086IMG0230.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_027_3813685_banheiro_da_suite.jpg,True,10507
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813683,Detalhe banheiro da suíte,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-606.218755478073IMG0228.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_028_3813683_detalhe_banheiro_da_suite.jpg,True,39884
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813684,Detalhe banheiro da suíte,quarto_banheiro,https://www.quintoandar.com.br/img/med/892937132-246.26744056515204IMG0229.jpg,data/external/quintoandar/images/quarto_banheiro/892937132_029_3813684_detalhe_banheiro_da_suite.jpg,True,6940
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813632,Cozinha,cozinha,https://www.quintoandar.com.br/img/med/892937132-826.0660445576649IMG0170.jpg,data/external/quintoandar/images/cozinha/892937132_031_3813632_cozinha.jpg,True,27011
quintoandar,892937132,https://www.quintoandar.com.br/imovel/892937132/alugar/casa-5-quartos-vila-jacui-sao-paulo,https://www.quintoandar.com.br/alugar/imovel/sao-paulo-sp-brasil/mobiliado,340,True,5,Vila Jacuí,"Avenida Tenente Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo",3813633,Cozinha,cozinha,https://www.quintoandar.com.br/img/med/892937132-202.2875559065167IMG0171.jpg,data/external/quintoandar/images/cozinha/892937132_032_3813633_cozinha.jpg,True,27005
